route,label,declared_status,page_exists,e2e_specs,finding
/procurement/supplier-performance,Supplier Performance,AVAILABLE,yes,apps/web/e2e/procurement-planning-analytics.spec.ts,
/procurement/planning,Procurement Planning,AVAILABLE,yes,apps/web/e2e/procurement-planning-analytics.spec.ts,
/procurement/subcontract,Subcontracting,AVAILABLE,yes,,
/procurement/spend-analytics,Spend Analytics,AVAILABLE,yes,apps/web/e2e/procurement-planning-analytics.spec.ts,
/procurement/purchase-history,Purchase History,AVAILABLE,yes,apps/web/e2e/procurement-planning-analytics.spec.ts,
/procurement/reports,Reports,AVAILABLE,yes,,
/inventory,Home,AVAILABLE,yes,apps/web/e2e/inventory-counts.spec.ts;apps/web/e2e/inventory-foundation.spec.ts;apps/web/e2e/inventory-outbound.spec.ts;apps/web/e2e/inventory-valuation.spec.ts,
/inventory/items,Items,AVAILABLE,yes,apps/web/e2e/inventory-foundation.spec.ts,
/inventory/variants,Variants,AVAILABLE,yes,,
/inventory/categories,Categories,AVAILABLE,yes,,
/inventory/units-of-measure,Units of Measure,AVAILABLE,yes,,
/inventory/conversions,Unit Conversions,AVAILABLE,yes,,
/inventory/availability,Availability,AVAILABLE,yes,apps/web/e2e/inventory-foundation.spec.ts,
/inventory/ledger,Stock Ledger,AVAILABLE,yes,apps/web/e2e/inventory-foundation.spec.ts,
/inventory/reservations,Reservations,AVAILABLE,yes,apps/web/e2e/inventory-foundation.spec.ts,
/inventory/warehouses,Warehouses,AVAILABLE,yes,apps/web/e2e/inventory-foundation.spec.ts,
/inventory/locations,Locations / Bins,AVAILABLE,yes,,
/inventory/receipts,Receipts,AVAILABLE,yes,apps/web/e2e/inventory-foundation.spec.ts,
/inventory/issues,Issues,AVAILABLE,yes,apps/web/e2e/inventory-foundation.spec.ts,
/inventory/transfers,Transfers,AVAILABLE,yes,apps/web/e2e/inventory-foundation.spec.ts,
/inventory/adjustments,Adjustments,AVAILABLE,yes,apps/web/e2e/inventory-foundation.spec.ts,
/inventory/damaged-stock,Damaged Stock,AVAILABLE,yes,apps/web/e2e/inventory-outbound.spec.ts,
/inventory/returns,Returns,AVAILABLE,yes,apps/web/e2e/inventory-outbound.spec.ts,
/inventory/pick-lists,Pick Lists,AVAILABLE,yes,apps/web/e2e/inventory-outbound.spec.ts,
/inventory/lots,Lots / Batches,AVAILABLE,yes,apps/web/e2e/inventory-foundation.spec.ts,
/inventory/serial-numbers,Serial Numbers,AVAILABLE,yes,,
/inventory/expiry,Expiry,AVAILABLE,yes,apps/web/e2e/inventory-foundation.spec.ts,
/inventory/genealogy,Genealogy,AVAILABLE,yes,apps/web/e2e/inventory-outbound.spec.ts,
/inventory/quarantine,Quarantine,AVAILABLE,yes,apps/web/e2e/inventory-outbound.spec.ts,
/inventory/cycle-counts,Cycle Counts,AVAILABLE,yes,,
/inventory/physical-inventory,Physical Inventory,AVAILABLE,yes,apps/web/e2e/inventory-counts.spec.ts,
/inventory/replenishment,Replenishment,AVAILABLE,yes,apps/web/e2e/inventory-foundation.spec.ts,
/inventory/reorder-rules,Reorder Rules,AVAILABLE,yes,apps/web/e2e/inventory-foundation.spec.ts,
/inventory/costing,Costing,AVAILABLE,yes,apps/web/e2e/inventory-foundation.spec.ts,
/inventory/valuation,Inventory Valuation,AVAILABLE,yes,apps/web/e2e/inventory-valuation.spec.ts,
/inventory/movement,Movement,AVAILABLE,yes,apps/web/e2e/inventory-valuation.spec.ts,
/inventory/aging,Aging,AVAILABLE,yes,apps/web/e2e/inventory-valuation.spec.ts,
/inventory/landed-cost,Landed Cost,AVAILABLE,yes,apps/web/e2e/inventory-valuation.spec.ts,
/inventory/reports,Reports,AVAILABLE,yes,apps/web/e2e/inventory-valuation.spec.ts,
/manufacturing,Home,AVAILABLE,yes,apps/web/e2e/manufacturing-engineering.spec.ts;apps/web/e2e/manufacturing-execution.spec.ts;apps/web/e2e/manufacturing-insights.spec.ts;apps/web/e2e/manufacturing-planning.spec.ts;apps/web/e2e/manufacturing-process.spec.ts;apps/web/e2e/manufacturing-production.spec.ts,
/manufacturing/boms,BOMs,AVAILABLE,yes,apps/web/e2e/manufacturing-engineering.spec.ts,
/manufacturing/bom-versions,BOM Versions,AVAILABLE,yes,,
/manufacturing/routings,Routings,AVAILABLE,yes,apps/web/e2e/manufacturing-process.spec.ts,
/manufacturing/where-used,Where Used,AVAILABLE,yes,apps/web/e2e/manufacturing-engineering.spec.ts,
/manufacturing/engineering-changes,Engineering Changes,AVAILABLE,yes,apps/web/e2e/manufacturing-engineering.spec.ts,
/manufacturing/mrp,MRP,AVAILABLE,yes,apps/web/e2e/manufacturing-planning.spec.ts,
/manufacturing/material-planning,Material Planning,AVAILABLE,yes,apps/web/e2e/manufacturing-planning.spec.ts,
/manufacturing/capacity,Capacity,AVAILABLE,yes,apps/web/e2e/manufacturing-process.spec.ts,
/manufacturing/scheduling,Scheduling,AVAILABLE,yes,apps/web/e2e/manufacturing-planning.spec.ts,
/manufacturing/production-orders,Production Orders,AVAILABLE,yes,apps/web/e2e/manufacturing-planning.spec.ts;apps/web/e2e/manufacturing-production.spec.ts,
/manufacturing/shop-floor,Shop Floor,AVAILABLE,yes,apps/web/e2e/manufacturing-production.spec.ts,
/manufacturing/operations,Operations,AVAILABLE,yes,,
/manufacturing/reservations,Reservations,AVAILABLE,yes,,
/manufacturing/consumption,Consumption,AVAILABLE,yes,apps/web/e2e/manufacturing-production.spec.ts,
/manufacturing/wip,WIP,AVAILABLE,yes,,
/manufacturing/finished-output,Finished Output,AVAILABLE,yes,apps/web/e2e/manufacturing-production.spec.ts,
/manufacturing/by-products,By-Products,AVAILABLE,yes,,
/manufacturing/scrap-rework,Scrap / Rework,AVAILABLE,yes,apps/web/e2e/manufacturing-production.spec.ts,
/manufacturing/inspections,Inspections,AVAILABLE,yes,apps/web/e2e/manufacturing-execution.spec.ts,
/manufacturing/time-tracking,Time Tracking,AVAILABLE,yes,apps/web/e2e/manufacturing-execution.spec.ts,
/manufacturing/subcontracting,Subcontracting,AVAILABLE,yes,apps/web/e2e/manufacturing-execution.spec.ts,
/manufacturing/work-centers,Work Centers,AVAILABLE,yes,apps/web/e2e/manufacturing-process.spec.ts,
/manufacturing/resources,Resources,PLANNED,no,,
/manufacturing/calendars,Calendars,AVAILABLE,yes,apps/web/e2e/manufacturing-process.spec.ts,
/manufacturing/shifts,Shifts,AVAILABLE,yes,apps/web/e2e/manufacturing-process.spec.ts,
/manufacturing/calendar-exceptions,Holidays,AVAILABLE,yes,,
/manufacturing/settings,Settings,AVAILABLE,yes,apps/web/e2e/manufacturing-production.spec.ts,
